,ax,ay,az,gx,gy,gz,action
219,-8.23,0.58,-15.85,262.73,22.76,203.84,grenade
220,-6.44,-9.0,-9.31,155.33,58.3,269.91,grenade
221,-5.44,-25.56,-4.8,155.33,107.24,239.39,grenade
222,5.49,-21.3,14.0,-251.19,62.88,251.8,grenade
223,11.4,-5.29,20.71,-19.8,256.47,280.58,grenade
224,5.07,4.33,8.14,3.41,-122.38,-98.62,grenade
225,-1.27,3.36,5.37,102.65,87.83,-180.69,grenade
226,-7.98,9.93,2.5,51.44,183.85,-33.77,grenade
227,-2.42,7.22,6.58,-155.05,-73.94,47.67,grenade
228,0.7,3.78,11.53,-91.65,-20.98,23.57,grenade
229,-0.26,4.77,9.99,0.8,49.64,-8.31,grenade
230,-1.99,5.47,8.21,8.07,38.68,-15.3,grenade
231,-1.81,5.33,8.59,-10.19,2.83,1.83,grenade
232,-0.82,5.28,7.85,-5.76,-13.94,2.13,grenade
233,-0.5,5.53,7.3,-22.92,-1.77,-0.32,grenade
234,-1.62,4.78,7.67,-31.6,-2.51,-7.05,grenade
235,-1.5,4.57,7.63,-29.46,-22.46,-0.21,grenade
236,-0.51,3.62,6.8,-28.71,-10.19,-1.52,grenade
237,-0.18,2.47,5.88,-33.66,-25.33,-26.93,grenade
238,0.6,0.74,5.51,-45.74,-65.37,-55.65,grenade
239,0.41,-2.42,4.24,-39.81,-38.3,-73.78,grenade
240,-0.75,-0.54,2.66,2.68,-112.46,-97.46,grenade
241,-0.98,-2.13,2.05,-74.83,-131.75,-78.51,grenade
242,-2.63,0.12,1.58,-54.26,-185.19,-29.75,grenade
243,-2.22,-0.42,0.89,-138.68,-271.56,73.01,grenade
244,-0.03,-1.26,1.96,-160.62,-296.53,182.0,grenade
245,0.92,-9.99,0.21,-3.11,1.67,1.55,grenade
246,0.91,-9.98,0.23,-1.51,0.8,0.62,grenade
247,0.96,-9.96,0.3,-2.16,-1.54,-0.47,grenade
248,0.91,-9.89,0.21,0.07,2.38,-0.18,grenade
249,0.65,-9.96,0.16,-0.88,-0.22,-0.79,grenade
250,0.82,-10.0,0.11,-0.27,-2.13,1.03,grenade
251,0.75,-9.84,0.0,-0.82,2.54,1.17,grenade
252,0.66,-9.9,-0.11,-3.83,2.57,3.32,grenade
253,4.7,-13.7,5.35,22.46,-15.88,6.59,grenade
254,14.08,-27.99,8.55,-240.98,304.36,-246.43,grenade
255,-3.03,-17.85,0.11,-155.34,20.53,-282.64,grenade
256,14.53,-5.45,9.52,-155.34,326.57,213.07,grenade
257,8.13,-1.26,9.86,233.27,169.52,325.93,grenade
258,7.05,2.37,13.4,-281.4,-119.15,-237.01,grenade
259,7.69,3.58,9.35,311.53,-56.03,-219.34,grenade
260,11.5,6.41,13.82,306.05,-46.26,-281.34,grenade
261,5.43,6.7,10.57,-270.72,-7.32,320.85,grenade
262,-0.11,4.22,3.52,-204.71,9.87,-314.17,grenade
263,-1.82,-1.51,-3.52,-274.08,-28.55,-287.98,grenade
264,-5.12,-2.22,-11.42,-319.05,-41.4,-229.78,grenade
265,-11.31,-0.12,-20.39,139.0,-22.02,-112.45,grenade
266,-9.21,1.23,-17.27,-78.69,-52.67,70.04,grenade
267,-7.04,-0.03,-12.65,-267.72,21.34,162.13,grenade
268,-6.99,-1.32,-14.34,297.87,-79.15,209.67,grenade
269,-6.23,-11.53,-7.58,155.33,-36.59,296.22,grenade
270,-3.43,-24.73,-4.79,155.33,173.84,285.94,grenade
271,6.08,-18.82,12.65,299.96,136.77,252.0,grenade
272,9.19,-6.78,16.14,52.02,224.84,208.0,grenade
273,2.42,3.02,10.11,-1.02,-57.88,-176.58,grenade
274,-6.15,4.94,8.5,56.72,122.46,-156.3,grenade
275,-8.33,7.55,9.2,-92.07,79.77,-1.48,grenade
276,-6.2,4.24,13.34,-107.27,-14.16,43.09,grenade
277,-1.09,3.54,13.57,-88.53,-136.11,56.99,grenade
