,ax,ay,az,gx,gy,gz,action
233,0.64,-0.94,10.19,55.74,-81.53,-5.64,grenade
234,1.0,0.08,7.82,61.19,-29.77,-11.13,grenade
235,-0.05,-0.56,5.7,9.61,-23.36,-13.03,grenade
236,0.57,-1.51,2.65,-54.93,-55.91,-2.82,grenade
237,1.21,-3.12,0.09,-99.02,-69.43,-24.98,grenade
238,1.6,-3.74,-0.14,-51.79,-52.38,-119.63,grenade
239,0.1,-4.97,-0.75,-30.9,-48.25,-179.54,grenade
240,-1.72,-4.14,-0.42,14.1,-32.25,-193.31,grenade
241,-3.73,-2.92,-0.17,-33.81,-22.66,-97.28,grenade
242,-3.6,-0.79,0.47,-124.87,-118.5,110.54,grenade
243,6.38,-8.51,2.03,275.86,242.49,226.83,grenade
244,18.8,-18.37,2.45,-321.75,280.82,246.96,grenade
245,23.36,-13.57,0.07,-182.84,111.03,292.8,grenade
246,21.08,-12.74,-3.52,-185.49,177.82,225.84,grenade
247,15.75,-15.61,-7.93,-213.59,301.52,181.18,grenade
248,7.54,-18.35,-11.19,-190.55,-247.74,182.21,grenade
249,-1.4,-22.08,-14.08,-155.34,-273.39,206.97,grenade
250,-9.82,-18.76,-24.05,-155.34,241.44,277.31,grenade
251,-15.43,-9.43,-28.43,-155.34,50.55,-258.65,grenade
252,-17.02,-4.68,-24.9,257.54,-66.96,-75.14,grenade
253,-17.1,-11.34,-17.97,185.97,-8.1,137.18,grenade
254,-8.47,-6.06,-20.58,173.29,-244.4,-316.94,grenade
255,-2.69,-5.89,-16.34,-27.89,-105.76,-271.55,grenade
256,-0.37,-8.26,-11.78,-212.25,-51.53,-244.46,grenade
257,0.62,-8.78,-11.05,309.01,-83.82,-229.11,grenade
258,4.65,-16.53,-7.34,219.37,-159.84,-210.66,grenade
259,7.02,-17.68,-7.96,155.33,-122.0,-212.17,grenade
260,6.95,-28.91,1.48,155.33,260.88,-257.26,grenade
261,-5.95,-30.08,10.45,155.33,-155.34,-251.63,grenade
262,-2.96,-11.97,19.58,156.41,280.73,50.73,grenade
263,13.04,-0.45,18.9,-250.82,181.85,-28.32,grenade
264,5.05,-10.07,20.45,-39.79,-155.34,56.96,grenade
265,-8.0,2.56,11.6,-1.58,33.44,-41.62,grenade
266,4.59,-3.95,19.58,-102.95,-228.15,13.76,grenade
267,4.1,-3.67,16.47,12.97,101.87,-12.86,grenade
268,-1.62,-2.34,12.53,88.73,36.3,-25.77,grenade
269,1.09,-2.08,11.57,49.09,-95.84,-39.52,grenade
270,1.15,-2.98,9.76,43.46,-57.27,-51.63,grenade
271,1.23,-3.01,6.14,30.3,-43.06,-62.1,grenade
272,0.92,-3.98,2.58,14.78,2.96,-75.43,grenade
273,-0.08,-4.81,0.05,29.6,17.68,-105.47,grenade
274,-1.0,-3.75,-1.54,66.97,-25.13,-153.39,grenade
275,-1.49,-1.54,-2.14,47.21,-83.89,-166.39,grenade
276,-3.08,-0.18,-1.93,-27.43,-156.0,-122.4,grenade
277,-2.12,2.48,2.0,-177.51,-249.42,31.25,grenade
278,1.24,-3.56,-0.15,-259.93,-235.04,182.78,grenade
279,8.61,-7.92,3.47,-244.73,-302.86,274.03,grenade
280,20.35,-21.3,1.71,-168.17,58.32,-314.49,grenade
281,19.04,-20.22,-2.41,-155.34,119.04,281.83,grenade
282,13.52,-18.2,-8.91,-155.34,194.7,205.82,grenade
283,11.42,-17.89,-9.49,-155.34,262.21,155.33,grenade
284,4.16,-17.55,-9.21,-165.12,-263.41,169.52,grenade
285,-5.49,-19.58,-12.94,-155.34,-296.91,267.49,grenade
286,-10.7,-16.22,-21.97,-155.34,185.05,-281.21,grenade
287,-13.85,-7.85,-25.99,-155.34,-2.12,-150.96,grenade
288,-17.1,-9.63,-23.38,-323.17,35.06,-32.1,grenade
289,-15.27,-8.59,-23.82,252.3,-90.96,218.44,grenade
290,-5.45,-7.68,-19.5,140.34,-156.47,-279.04,grenade
291,-0.61,-7.32,-15.16,-22.18,-73.55,-223.8,grenade
292,1.27,-7.33,-10.91,-217.8,-61.1,-214.81,grenade
293,2.25,-10.54,-9.93,322.61,-71.43,-236.26,grenade
294,2.73,-10.98,-9.23,286.47,-74.69,-236.33,grenade
295,4.55,-16.74,-10.76,155.33,-77.59,-218.49,grenade
296,7.75,-25.48,-3.26,155.33,156.09,-273.25,grenade
297,1.57,-29.15,4.0,155.33,-187.94,-285.75,grenade
298,-8.71,-23.91,19.29,81.74,33.52,167.61,grenade
299,16.7,4.69,25.1,-294.77,155.33,-162.51,grenade
300,10.16,-12.96,19.42,-209.76,-251.97,34.56,grenade
301,-6.78,-2.44,15.08,128.06,245.77,-35.44,grenade
302,0.22,-2.95,22.26,-197.05,-250.82,-10.72,grenade
303,3.7,-8.15,19.59,17.24,48.96,-12.58,grenade
304,-0.99,-2.95,15.0,83.3,35.83,-27.2,grenade
305,1.35,-2.93,12.76,66.76,-57.22,-34.67,grenade
306,0.7,-3.33,9.98,65.49,-22.98,-41.7,grenade
307,0.88,-3.09,6.34,42.37,19.07,-44.86,grenade
308,0.52,-3.3,2.27,-2.22,62.91,-30.74,grenade
309,-0.08,-5.3,-0.12,-53.18,38.82,-62.59,grenade
310,-0.97,-6.27,-0.35,5.0,-18.22,-153.3,grenade
311,-2.46,-3.61,-0.86,33.02,-80.66,-186.49,grenade
312,-2.97,-0.79,-0.69,-6.04,-201.79,-137.49,grenade
313,-2.22,1.31,2.45,-162.18,-248.73,3.83,grenade
314,3.11,-5.52,2.89,-299.3,-323.61,177.64,grenade
315,23.46,-29.28,6.88,285.6,-164.31,-135.79,grenade
316,23.95,-17.6,1.42,-314.61,-113.56,-242.98,grenade
317,30.35,-19.33,3.8,-302.05,22.78,-321.36,grenade
318,27.57,-17.93,0.1,-206.55,164.8,237.06,grenade
319,23.26,-20.66,-6.49,-156.64,285.59,156.39,grenade
320,13.69,-24.57,-11.31,-155.34,-260.76,155.33,grenade
321,4.66,-24.32,-13.11,-155.34,-236.63,177.88,grenade
322,-5.04,-24.33,-16.51,-155.34,322.0,254.68,grenade
323,-12.09,-18.04,-27.02,-155.34,132.57,-282.09,grenade
324,-16.95,-5.32,-30.57,-155.34,-73.43,-111.03,grenade
325,-17.1,-6.82,-27.16,276.51,-69.63,81.62,grenade
326,-9.88,-7.92,-22.12,183.25,-193.64,299.88,grenade
327,-3.54,-5.36,-19.87,50.29,-160.79,-282.29,grenade
328,-0.33,-7.92,-14.12,-198.79,-90.56,-232.85,grenade
329,-1.14,-14.14,-9.51,312.29,30.12,-262.18,grenade
330,0.59,-20.49,-10.7,271.0,-171.5,-245.83,grenade
331,9.27,-28.88,-12.37,155.33,-313.62,-155.34,grenade
332,27.26,-34.67,6.51,211.05,-117.83,-155.34,grenade
333,4.9,-16.66,13.93,155.33,-155.34,-237.03,grenade
334,-9.97,0.76,11.31,40.75,-225.37,65.93,grenade
335,8.79,-2.86,20.14,301.73,183.33,-65.98,grenade
336,6.25,-8.44,18.78,-119.59,-298.48,86.63,grenade
337,-4.72,-0.11,16.54,-10.92,29.83,-57.49,grenade
338,3.49,-5.04,20.22,-147.35,-93.0,-18.05,grenade
339,0.44,-3.03,18.3,65.4,60.47,-16.37,grenade
340,-0.84,-2.85,15.07,36.66,-65.66,-37.14,grenade
341,0.72,-2.76,12.77,47.27,-62.1,-26.49,grenade
342,1.59,-2.38,9.07,10.92,-32.58,-16.99,grenade
343,1.34,-2.89,4.95,-17.56,26.59,-24.18,grenade
344,-0.16,-5.22,1.88,-65.52,23.53,-60.55,grenade
345,0.0,-4.82,-0.07,48.37,-23.75,-136.69,grenade
346,-2.09,-2.24,-2.6,18.4,-20.7,-175.62,grenade
347,-3.1,-1.5,-1.87,-126.76,-131.9,-126.27,grenade
348,-1.8,-2.85,-1.39,-198.16,-245.18,-39.55,grenade
349,0.23,-3.7,3.41,-192.45,-274.9,55.92,grenade
350,11.21,-17.15,-11.15,-191.78,-247.56,214.38,grenade
351,5.1,-17.93,-12.67,-169.94,-192.21,214.67,grenade
352,-3.61,-18.24,-15.41,-155.34,-268.39,273.03,grenade
353,-9.26,-18.16,-23.35,-155.34,194.8,-309.9,grenade
354,-15.47,-12.44,-26.27,-155.34,28.29,-220.84,grenade
355,-20.35,-9.05,-25.85,-325.17,31.43,-51.96,grenade
356,-17.46,-9.89,-24.22,233.06,-81.04,238.1,grenade
357,-8.01,-9.14,-20.69,85.28,-158.53,-255.61,grenade
358,-2.76,-9.61,-16.2,-126.74,-94.5,-198.47,grenade
359,-0.37,-12.69,-13.14,325.58,-44.08,-180.67,grenade
360,2.29,-17.23,-9.4,233.14,-110.8,-177.86,grenade
361,5.72,-23.71,-6.68,155.33,-101.34,-157.16,grenade
362,8.95,-25.5,-4.0,155.33,-12.92,-252.96,grenade
363,11.11,-27.26,8.99,161.44,91.91,-319.42,grenade
364,3.37,-14.98,17.17,-224.85,-190.03,219.16,grenade
365,-3.76,-1.49,21.03,-82.98,-122.03,-10.2,grenade
366,5.79,-6.12,23.93,-240.57,-80.42,53.89,grenade
367,1.9,-4.15,21.88,-76.71,59.02,1.89,grenade
368,1.66,-2.31,17.93,-51.09,-36.05,-0.62,grenade
369,2.0,-3.7,17.45,-46.57,-8.53,-0.62,grenade
370,0.69,-2.4,15.56,14.05,-21.8,-14.23,grenade
371,1.97,-2.68,13.85,36.31,-24.26,-18.64,grenade
372,0.79,-2.52,12.46,46.48,-25.48,-40.25,grenade
373,0.46,-3.16,9.38,29.71,-46.23,-39.32,grenade
374,0.81,-3.3,5.17,8.2,-18.23,-43.42,grenade
375,0.64,-3.84,1.81,-12.19,-14.45,-63.6,grenade
376,0.17,-4.78,-0.95,7.32,-21.73,-120.23,grenade
377,-2.37,-2.38,-3.91,-15.67,-18.32,-143.38,grenade
378,-1.77,-1.5,-0.68,-213.12,-106.62,-89.77,grenade
379,-0.06,-1.79,-0.89,-250.15,-292.25,-35.67,grenade
