,ax,ay,az,gx,gy,gz,action
305,1.59,-7.32,-3.21,-132.5,-296.6,210.49,grenade
306,6.68,-12.48,-2.5,-161.14,266.2,288.62,grenade
307,13.86,-15.96,-6.61,7.59,259.34,293.64,grenade
308,15.69,-16.59,-7.26,-28.65,265.93,265.46,grenade
309,16.37,-18.12,-10.72,28.32,301.26,238.78,grenade
310,14.85,-15.05,-10.56,62.82,280.59,132.71,grenade
311,12.43,-14.15,-9.28,83.62,-147.33,131.38,grenade
312,10.21,-11.47,-6.89,60.73,-5.21,108.16,grenade
313,5.69,-9.43,-6.23,53.6,22.66,25.37,grenade
314,3.4,-8.02,-5.76,14.66,-60.67,-17.65,grenade
315,16.96,-8.17,0.15,270.69,30.74,155.33,grenade
316,15.93,1.59,1.68,163.48,-117.73,155.33,grenade
317,17.64,-2.48,2.8,68.92,-29.98,155.33,grenade
318,7.12,-11.25,1.22,63.05,71.35,155.33,grenade
319,-5.88,-10.34,-9.63,189.31,84.41,221.69,grenade
320,-12.6,1.4,-19.62,82.02,82.4,-245.39,grenade
321,-10.61,5.61,-22.18,-101.09,-26.55,-11.96,grenade
322,-3.17,4.67,-18.07,-256.5,-165.32,61.13,grenade
323,-2.12,0.33,-13.17,294.98,17.04,67.44,grenade
324,-2.7,-4.65,-8.97,173.68,30.88,93.51,grenade
325,-3.92,-11.85,-5.48,155.33,82.22,119.97,grenade
326,-4.51,-16.29,-2.19,283.75,40.95,138.95,grenade
327,-2.79,-14.7,5.48,-259.93,26.72,134.48,grenade
328,-0.36,-10.46,19.04,-111.03,-3.75,128.87,grenade
329,2.97,-3.02,25.85,-123.34,-27.71,57.07,grenade
330,4.9,-3.12,20.68,-10.31,-68.74,-8.28,grenade
331,3.42,1.74,13.25,8.65,-17.07,-15.51,grenade
332,1.98,0.97,12.71,-28.1,47.59,-8.71,grenade
333,-1.1,0.81,10.49,32.97,26.17,-18.81,grenade
334,-0.17,1.37,6.86,-2.44,-73.82,-12.08,grenade
335,0.76,-0.5,5.94,-47.74,-31.75,-14.32,grenade
336,-0.4,-2.0,4.45,-53.12,-20.69,-43.9,grenade
337,-1.76,-2.39,2.09,-42.39,-84.69,-93.34,grenade
338,-2.07,-2.1,-0.32,-28.45,-158.99,-112.57,grenade
339,-3.37,-1.97,-1.41,-91.52,-147.85,-76.55,grenade
340,-3.82,-2.89,-2.23,-157.81,-202.3,8.66,grenade
341,-2.03,-4.61,-2.44,-148.95,-283.43,95.58,grenade
342,0.0,-6.67,-3.08,-119.54,-290.7,178.08,grenade
343,6.04,-11.32,-3.89,-129.03,233.76,244.81,grenade
344,15.12,-17.64,-6.14,14.06,288.93,268.54,grenade
345,13.33,-13.34,-8.99,47.51,-261.54,218.69,grenade
346,18.37,-17.06,-7.58,46.46,-295.15,251.07,grenade
347,12.51,-14.65,-7.88,72.39,-130.9,163.44,grenade
348,10.82,-12.83,-8.59,79.73,-160.85,136.8,grenade
349,8.87,-10.09,-7.48,23.19,-93.29,100.67,grenade
350,1.49,-11.43,-1.88,166.51,45.68,155.33,grenade
351,-4.31,-3.35,-15.1,179.56,-34.04,214.23,grenade
352,-11.5,3.89,-21.16,27.63,67.83,-217.04,grenade
353,-9.63,6.45,-23.37,-133.17,-26.24,22.08,grenade
354,-2.74,-0.12,-17.24,250.88,-80.58,49.35,grenade
355,-4.89,-6.83,-9.8,155.33,54.7,76.55,grenade
356,-5.04,-18.63,-3.59,155.33,-0.04,110.89,grenade
357,-2.19,-15.71,-2.96,323.84,-5.52,153.02,grenade
358,-2.28,-13.7,-0.07,-287.45,30.59,147.73,grenade
359,-0.32,-10.86,6.2,-197.37,41.44,147.71,grenade
360,2.82,-5.68,16.89,-40.4,-122.82,58.93,grenade
361,1.75,-5.46,23.59,-191.1,39.26,4.8,grenade
362,2.25,-2.63,22.7,-9.11,-15.9,4.8,grenade
363,2.27,0.63,18.33,10.11,21.5,-5.58,grenade
364,1.46,-0.44,14.73,4.07,16.2,12.42,grenade
365,1.08,0.39,10.17,32.65,3.5,-2.86,grenade
366,0.28,0.27,7.57,12.1,4.74,-25.92,grenade
367,-0.39,-0.5,5.44,5.29,-10.42,-36.36,grenade
368,-0.81,-1.19,3.6,-7.55,-29.68,-59.23,grenade
369,-2.17,-1.59,1.04,-19.8,-63.78,-91.69,grenade
370,-2.58,-1.14,-1.2,-59.66,-177.48,-90.75,grenade
371,-1.92,-2.74,-1.82,-149.1,-255.74,-61.66,grenade
372,-0.37,-3.56,-1.51,-153.4,-293.37,-5.79,grenade
373,1.1,-5.28,-0.25,-135.37,-310.17,36.3,grenade
374,2.56,-6.19,0.27,-51.92,-296.54,119.72,grenade
375,6.69,-7.93,-2.6,-30.76,305.94,207.3,grenade
376,14.1,-12.1,-5.3,23.98,250.72,196.21,grenade
377,13.73,-9.41,-5.77,116.78,-109.04,219.4,grenade
378,11.07,-11.92,-7.95,75.14,-273.52,188.35,grenade
379,15.03,-12.57,-7.23,107.79,-216.72,203.96,grenade
380,11.52,-12.32,-7.86,93.36,-115.65,128.45,grenade
381,9.33,-10.49,-7.84,85.01,-150.0,108.13,grenade
382,8.7,-9.51,-7.47,35.63,-129.08,91.65,grenade
383,8.08,-8.81,-5.85,16.38,-56.06,62.71,grenade
384,5.26,-8.27,-4.79,-7.79,33.05,19.51,grenade
385,18.14,-8.1,3.86,231.32,-215.7,247.71,grenade
386,22.29,-2.46,5.52,206.77,-196.89,170.68,grenade
387,20.76,2.48,2.83,144.03,-77.9,155.33,grenade
388,15.05,-6.71,6.17,125.45,-17.42,155.33,grenade
389,4.93,-11.74,3.44,224.19,21.89,155.33,grenade
390,-1.23,-7.77,-7.5,255.37,-63.74,217.39,grenade
391,-7.51,-2.37,-13.5,145.15,7.59,-315.07,grenade
392,-9.76,4.92,-20.39,26.04,-31.84,-33.09,grenade
393,-4.09,4.45,-16.93,-155.19,-150.15,52.12,grenade
394,-4.24,2.32,-13.48,-242.6,-21.69,37.05,grenade
395,-3.7,-1.16,-12.75,303.94,-42.17,106.27,grenade
396,-2.8,-5.22,-7.43,203.18,-47.67,89.57,grenade
397,-3.61,-10.96,-4.58,265.2,-30.47,142.04,grenade
398,-1.66,-12.82,-0.16,296.8,-32.87,180.48,grenade
399,0.47,-14.55,4.65,-305.53,-44.81,139.88,grenade
400,4.5,-8.41,18.71,-251.27,80.95,154.78,grenade
401,-0.83,-5.41,23.5,-156.81,162.53,49.41,grenade
402,4.56,0.37,24.52,-74.11,-197.75,0.03,grenade
403,1.57,0.21,17.3,15.45,45.49,-55.14,grenade
404,-1.59,1.95,13.94,-8.07,45.23,-19.27,grenade
405,-2.01,1.43,9.99,-24.15,3.5,13.41,grenade
406,-0.11,-0.37,7.47,-32.9,-48.83,10.55,grenade
407,0.61,-1.72,4.76,-6.88,-19.68,-32.27,grenade
408,-0.98,-1.92,2.09,7.79,-24.84,-81.8,grenade
409,-1.97,-2.92,0.08,-30.96,-95.22,-101.38,grenade
410,-1.11,-3.17,-0.14,-38.57,-144.89,-83.04,grenade
411,-1.88,-2.75,-1.2,-87.24,-102.95,-49.56,grenade
412,-1.07,-3.14,0.27,-149.6,-218.69,33.7,grenade
413,1.21,-5.16,1.85,-144.61,-229.75,111.41,grenade
414,4.61,-7.57,0.61,-77.73,280.99,183.62,grenade
415,11.94,-10.24,1.42,-71.02,253.33,269.67,grenade
416,14.98,-13.92,-1.02,51.53,-289.25,250.73,grenade
