,ax,ay,az,gx,gy,gz,action
339,-3.22,10.07,-3.73,56.61,-29.0,-64.88,grenade
340,-4.58,10.79,-5.42,-84.95,-208.57,-2.01,grenade
341,-8.98,8.47,-5.93,-165.64,-203.62,89.04,grenade
342,-6.27,2.5,-4.29,-241.45,310.47,290.12,grenade
343,1.62,-7.21,1.53,286.79,-160.93,-193.84,grenade
344,8.64,-14.44,8.74,-322.33,-151.39,-191.29,grenade
345,12.14,-14.57,7.49,-276.8,-197.73,-189.89,grenade
346,16.97,-18.21,5.06,-256.27,-326.33,-276.66,grenade
347,15.1,-20.72,2.74,-144.95,-29.0,-290.22,grenade
348,3.64,-20.21,-0.54,-134.33,-35.17,-280.61,grenade
349,6.15,-27.77,-2.46,-104.37,-252.75,296.82,grenade
350,9.65,-30.7,5.61,-183.8,159.86,293.95,grenade
351,5.97,-29.11,1.75,-155.34,141.75,292.12,grenade
352,-0.37,-26.44,-4.95,-155.34,88.03,279.16,grenade
353,-2.44,-22.27,-10.19,-155.34,51.53,305.58,grenade
354,-5.68,-15.95,-13.49,-193.69,41.76,-246.55,grenade
355,-18.83,-8.17,-24.14,-216.62,-153.27,-321.16,grenade
356,-22.55,2.87,-21.16,175.85,-51.68,-218.79,grenade
357,-16.09,1.36,-2.22,89.54,2.71,-135.89,grenade
358,-19.16,-0.65,-9.41,162.13,11.04,-105.18,grenade
359,-29.91,-3.95,-24.47,145.74,48.05,16.02,grenade
360,-25.4,-4.54,-27.52,54.03,30.53,137.72,grenade
361,-16.02,-9.6,-22.01,-218.26,227.84,-281.27,grenade
362,-7.92,-16.53,-19.9,155.33,216.72,-155.34,grenade
363,-6.19,-45.86,-14.26,155.33,65.6,-155.34,grenade
364,15.57,-52.17,34.16,-280.9,-320.59,301.01,grenade
365,0.45,2.34,26.75,294.88,-155.34,70.74,grenade
366,5.41,7.77,9.35,-43.36,-265.29,-99.23,grenade
367,-4.3,7.54,8.55,56.96,-28.44,-47.64,grenade
368,-1.77,6.53,9.78,-7.85,198.95,-13.61,grenade
369,-2.61,6.6,8.99,9.62,-138.56,-10.83,grenade
370,1.02,6.98,7.31,19.57,-56.35,-6.25,grenade
371,-2.34,7.48,6.44,22.5,171.14,-18.35,grenade
372,-2.99,6.91,5.03,21.53,-48.26,0.65,grenade
373,-0.32,5.77,5.29,28.36,-39.29,-2.02,grenade
374,-1.06,6.84,1.99,28.36,34.93,-11.94,grenade
375,-1.92,4.59,1.96,21.73,15.19,-21.85,grenade
376,-2.71,4.14,-1.37,10.17,17.65,-14.08,grenade
377,0.32,3.57,-2.37,-74.48,-83.64,-4.59,grenade
378,0.76,0.17,-0.22,-94.07,-51.02,-23.08,grenade
379,-0.7,-1.31,-1.91,-103.2,-13.35,-36.36,grenade
380,-1.64,-2.07,-2.56,-153.22,-141.21,-30.9,grenade
381,-1.92,-4.02,-1.69,-300.08,-177.39,39.52,grenade
382,-1.57,-7.74,0.66,318.06,-90.2,116.44,grenade
383,-0.49,-12.96,4.07,263.2,-73.4,190.61,grenade
384,3.99,-21.99,5.76,155.33,-243.54,233.72,grenade
385,-1.94,-9.54,-2.35,22.96,49.82,-15.09,grenade
386,-1.75,-9.58,-2.26,-12.13,-11.62,-4.63,grenade
387,-0.48,-10.08,-1.56,-8.78,26.23,20.66,grenade
388,0.7,-10.23,-1.76,11.9,82.38,37.44,grenade
389,2.11,-11.48,-1.02,14.13,88.84,45.03,grenade
390,5.99,-13.38,0.48,24.73,92.84,30.77,grenade
391,8.84,-17.01,1.11,61.51,155.37,-19.68,grenade
392,9.95,-22.06,1.21,63.71,85.15,-130.5,grenade
393,8.85,-30.36,0.64,163.99,118.26,-261.77,grenade
394,9.01,-34.38,-1.66,281.98,131.23,313.33,grenade
395,3.64,-32.44,-2.49,-273.25,201.34,281.97,grenade
396,2.05,-30.27,-1.92,-184.41,164.79,240.09,grenade
397,0.87,-26.04,-3.63,-155.34,214.44,271.18,grenade
398,-2.84,-21.76,-3.73,-155.34,160.27,274.9,grenade
399,-0.96,-19.27,-2.69,-155.34,4.18,270.71,grenade
400,-3.55,-15.25,-6.17,-163.15,-30.42,309.02,grenade
401,-12.45,-10.15,-13.35,-199.43,-88.37,-232.05,grenade
402,-24.34,-0.42,-26.35,-204.02,-195.75,-296.15,grenade
403,-14.52,7.95,-10.24,11.21,8.72,-31.28,grenade
404,-6.44,8.31,1.88,114.86,36.74,-47.07,grenade
405,-6.57,7.51,-6.78,111.1,-49.03,-70.47,grenade
406,-12.11,3.85,-11.12,88.27,45.21,-123.45,grenade
407,-18.11,1.13,-15.32,65.75,47.84,-60.03,grenade
408,-15.23,1.0,-18.56,2.06,13.01,21.01,grenade
409,-13.56,1.52,-16.56,-40.95,-14.61,57.63,grenade
410,-8.99,3.21,-12.87,-112.81,-13.41,86.93,grenade
411,-12.97,4.73,-15.23,-215.8,84.86,160.64,grenade
412,-6.4,-4.86,-2.89,276.87,222.79,286.9,grenade
413,-7.36,-10.54,-3.94,155.33,114.77,-303.81,grenade
414,8.24,-38.37,8.38,155.33,8.45,-155.34,grenade
415,7.27,-15.54,18.56,-55.89,256.24,164.83,grenade
416,6.65,15.17,12.82,-146.67,35.66,53.31,grenade
